|||Sütunlar||||||||||||
Satırlar|||Türkiye-TR||||||||||||
|||01-Ocak|02-Şubat|03-Mart|04-Nisan|05-Mayıs|06-Haziran|07-Temmuz|08-Ağustos|09-Eylül|10-Ekim|11-Kasım|12-Aralık|
|||||||||||||||
|0211. (İçkiler Ve Likörler)|2023||||||||||||53.89|
||2024|67.02|68.6|67.7|67.95|72.52|73.05|85.63|86.39|85.02|84.31|84.12|83.89|
||2025|92.35|92.96|93.08|92.32|93.45|94.63|105.27|108.11|107.11|107.43|106.44|106.84|
||2026|114.81||||||||||||
|02110. (İçkiler Ve Likörler)|2023||||||||||||53.89|
||2024|67.02|68.6|67.7|67.95|72.52|73.05|85.63|86.39|85.02|84.31|84.12|83.89|
||2025|92.35|92.96|93.08|92.32|93.45|94.63|105.27|108.11|107.11|107.43|106.44|106.84|
||2026|114.81||||||||||||
|0212. (Şaraplar)|2023||||||||||||57.38|
||2024|63.11|67.29|69.49|68.42|71.12|71.96|77.52|82.64|84.43|85.61|84.94|86.57|
||2025|88.94|90.42|93.85|94.39|96.15|98.15|101.07|105.65|106.52|106.93|108.39|109.54|
||2026|112.45||||||||||||
|02121. (Şarap, Üzümden)|2023||||||||||||57.38|
||2024|63.11|67.29|69.49|68.42|71.12|71.96|77.52|82.64|84.43|85.61|84.94|86.57|
||2025|88.94|90.42|93.85|94.39|96.15|98.15|101.07|105.65|106.52|106.93|108.39|109.54|
||2026|112.45||||||||||||
|0213. (Biralar)|2023||||||||||||50.4|
||2024|63.15|68.98|69.2|68.58|68.52|69.26|82.48|82.79|82.13|81.71|81.09|80.59|
||2025|94.4|93.34|94.19|92.96|92.7|92.27|105.11|107.4|107.37|106.6|106.32|107.35|
||2026|115.26||||||||||||
|02130. (Biralar)|2023||||||||||||50.4|
||2024|63.15|68.98|69.2|68.58|68.52|69.26|82.48|82.79|82.13|81.71|81.09|80.59|
||2025|94.4|93.34|94.19|92.96|92.7|92.27|105.11|107.4|107.37|106.6|106.32|107.35|
||2026|115.26||||||||||||
|023. (Tütün Ve Tütün Ürünleri)|2023||||||||||||62.25|
||2024|64.42|64.42|64.42|71.2|74.67|74.67|78.29|82.04|85.85|85.85|85.85|85.85|
||2025|85.85|85.85|95.16|95.17|95.19|95.3|100.21|106.59|106.59|109.42|112.34|112.34|
||2026|112.34||||||||||||
|0230. (Tütün Ve Tütün Ürünleri)|2023||||||||||||62.25|
||2024|64.42|64.42|64.42|71.2|74.67|74.67|78.29|82.04|85.85|85.85|85.85|85.85|
||2025|85.85|85.85|95.16|95.17|95.19|95.3|100.21|106.59|106.59|109.42|112.34|112.34|
||2026|112.34||||||||||||
|02301. (Sigara)|2023||||||||||||62.25|
||2024|64.42|64.42|64.42|71.2|74.67|74.67|78.29|82.04|85.85|85.85|85.85|85.85|
||2025|85.85|85.85|95.16|95.17|95.19|95.3|100.21|106.59|106.59|109.42|112.34|112.34|
||2026|112.34||||||||||||
|03. (Giyim Ve Ayakkabı)|2023||||||||||||77.16|
||2024|75.92|76.07|78.08|81.66|89.49|88.98|86.68|86.98|90.14|103.05|102.79|102.1|
||2025|96.82|91.92|89.65|95.47|102.13|101.85|95.92|95.24|98.97|111.27|112.03|108.73|
